"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Semantic-Based Explainable AI: Leveraging Semantic Scene Graphs and Pairwise Ranking to Explain Robot Failures","D. Das; S. Chernova","Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA","2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","16 Dec 2021","2021","","","3034","3041","When interacting in unstructured human environments, occasional robot failures are inevitable. When such failures occur, everyday people, rather than trained technicians, will be the first to respond. Existing natural language explanations hand-annotate contextual information from an environment to help everyday people understand robot failures. However, this methodology lacks generalizability and scalability. In our work, we introduce a more generalizable semantic explanation framework. Our framework autonomously captures the semantic information in a scene to produce semantically descriptive explanations for everyday users. To generate failure-focused explanations that are semantically grounded, we lever-ages both semantic scene graphs to extract spatial relations and object attributes from an environment, as well as pairwise ranking. Our results show that these semantically descriptive explanations significantly improve everyday users’ ability to both identify failures and provide assistance for recovery than the existing state-of-the-art context-based explanations.","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9635890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635890","","Scalability;Semantics;Natural languages;Intelligent robots","explanation;human-robot interaction;mobile robots;natural language processing;natural languages;ontologies (artificial intelligence)","generalizable semantic explanation framework;semantic information;semantically descriptive explanations;everyday users;failure-focused explanations;semantic scene graphs;pairwise ranking;identify failures;existing state-of-the-art context-based explanations;explainable AI;explain robot failures;unstructured human environments;occasional robot failures;everyday people;trained technicians;natural language explanations hand-annotate contextual information;generalizability","","4","","35","IEEE","16 Dec 2021","","","IEEE","IEEE Conferences"
"MAPS-X: Explainable Multi-Robot Motion Planning via Segmentation","J. Kottinger; S. Almagor; M. Lahijanian","Department of Aerospace Engineering Sciences, University of Colorado Boulder, USA; The Henry and Marilyn Taub Faculty of Computer Science, Technion, Israel; Department of Aerospace Engineering Sciences, University of Colorado Boulder, USA","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","7994","8000","Traditional multi-robot motion planning (MMP) focuses on computing trajectories for multiple robots acting in an environment, such that the robots do not collide when the trajectories are taken simultaneously. In safety-critical applications, a human supervisor may want to verify that the plan is indeed collision-free. In this work, we propose a notion of explanation for a plan of MMP, based on visualization of the plan as a short sequence of images representing time segments, where in each time segment the trajectories of the agents are disjoint, clearly illustrating the safety of the plan. We show that standard notions of optimality (e.g., makespan) may create conflict with short explanations. Thus, we propose meta-algorithms, namely multi-agent plan segmenting-X (MAPS-X) and its lazy variant, that can be plugged on existing centralized sampling-based tree planners X to produce plans with good explanations using a desirable number of images. We demonstrate the efficacy of this explanation-planning scheme and extensively evaluate the performance of MAPS-X and its lazy variant in various environments and agent dynamics.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561893","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561893","","Image segmentation;Visualization;Motion segmentation;Dynamics;Trajectory;Planning;Safety","control engineering computing;image representation;image segmentation;image sequences;motion control;multi-agent systems;multi-robot systems;path planning;robot vision;safety-critical software;trees (mathematics)","multiagent plan segmenting-X;image sequence;multiple robots;explainable multirobot motion planning;MAPS-X;time segment;MMP;safety-critical applications","","2","","23","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Explainable Reinforcement Learning for Human-Robot Collaboration","A. Iucci; A. Hata; A. Terra; R. Inam; I. Leite","Ericsson Research AI, Ericsson AB, Stockholm, Sweden; Ericsson Research AI, Ericsson Telecomunica&#x00E7;&#x00F5;es S/A, Indaiatuba, Brazil; Ericsson Research AI, Ericsson AB, Stockholm, Sweden; Ericsson Research AI, Ericsson AB, Stockholm, Sweden; Division of Robotics, Perception and Learning, Kungliga Tekniska H&#x00F6;gskolan, Stockholm, Sweden","2021 20th International Conference on Advanced Robotics (ICAR)","5 Jan 2022","2021","","","927","934","Reinforcement learning (RL) is getting popular in the robotics field due to its nature to learn from dynamic environments. However, it is unable to provide explanations of why an output was generated. Explainability becomes therefore important in situations where humans interact with robots, such as in human-robot collaboration (HRC) scenarios. Attempts to address explainability in robotics usually are restricted to explain a specific decision taken by the RL model, but not to understand the complete behavior of the robot. In addition, the explainability methods are restricted to be used by domain experts as queries and responses are not translated to natural language. This work overcomes these limitations by proposing an explainability solution for RL models applied to HRC. It is mainly formed by the adaptation of two methods: (i) Reward decomposition gives an insight into the factors that impacted the robot's choice by decomposing the reward function. It further provides sets of relevant reasons for each decision taken during the robot's operation; (ii) Autonomous policy explanation provides a global explanation of the robot's behavior by answering queries in the form of natural language, thus making understandable to any human user. Experiments in simulated HRC scenarios revealed an increased understanding of the optimal choices made by the robots. Additionally, our solution demonstrated as a powerful debugging tool to find weaknesses in the robot's policy and assist in its improvement.","","978-1-6654-3684-7","10.1109/ICAR53236.2021.9659472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9659472","Explainable reinforcement learning;explainable artificial intelligence;human-robot collaboration;risk mitigation;reward decomposition;autonomous policy explanation;collaborative robots;safety","Adaptation models;Natural languages;Collaboration;Reinforcement learning;Debugging;Robots","human-robot interaction;reinforcement learning","explainable reinforcement learning;robotics field;human-robot collaboration scenarios;RL model;explainability methods;explainability solution;autonomous policy explanation;HRC;reward decomposition;reward function","","1","","15","IEEE","5 Jan 2022","","","IEEE","IEEE Conferences"
"Explainable Knowledge Graph Embedding: Inference Reconciliation for Knowledge Inferences Supporting Robot Actions","A. Daruna; D. Das; S. Chernova","Georgia Institute of Technology, Atlanta, GA; Georgia Institute of Technology, Atlanta, GA; Georgia Institute of Technology, Atlanta, GA","2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","26 Dec 2022","2022","","","1008","1015","Learned knowledge graph representations supporting robots contain a wealth of domain knowledge that drives robot behavior. However, there does not exist an inference reconciliation framework that expresses how a knowledge graph representation affects a robot's sequential decision making. We use a pedagogical approach to explain the inferences of a learned, black-box knowledge graph representation, a knowledge graph embedding. Our interpretable model uses a decision tree classifier to locally approximate the predictions of the black-box model and provides natural language explanations interpretable by non-experts. Results from our algorithmic evaluation affirm our model design choices, and the results of our user studies with non-experts support the need for the proposed inference reconciliation framework. Critically, results from our simulated robot evaluation indicate that our explanations enable non-experts to correct erratic robot behaviors due to nonsensical beliefs within the black-box.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9982104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9982104","","Natural languages;Closed box;Predictive models;Approximation algorithms;Prediction algorithms;Classification algorithms;Behavioral sciences","control engineering computing;decision making;decision trees;graph theory;human-robot interaction;inference mechanisms;learning (artificial intelligence);natural language processing;semantic networks","black-box knowledge graph representation;black-box model;decision tree classifier;domain knowledge;erratic robot behaviors;explainable knowledge graph embedding;inference reconciliation framework;interpretable model uses;knowledge inferences supporting robot actions;learned knowledge graph representations;model design choices;nonexperts;robot behavior;simulated robot evaluation","","","","30","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Should AI Systems in Nuclear Facilities Explain Decisions the Way Humans Do? An Interview Study","H. M. Taylor; C. Jay; B. Lennox; A. Cangelosi; L. Dennis","The University of Manchester, UK; The University of Manchester, UK; The University of Manchester, UK; The University of Manchester, UK; The University of Manchester, UK","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","956","962","There is a growing interest in the use of robotics and AI in the nuclear industry, however it is important to ensure these systems are ethically grounded, trustworthy and safe. An emerging technique to address these concerns is the use of explainability. In this paper we present the results of an interview study with nuclear industry experts to explore the use of explainable intelligent systems within the field. We interviewed 16 participants with varying backgrounds of expertise, and presented two potential use cases for evaluation; a navigation scenario and a task scheduling scenario. Through an inductive thematic analysis we identified the aspects of a deployment that experts want to know from explainable systems and we outline how these associate with the folk conceptual theory of explanation, a framework in which people explain behaviours. We established that an intelligent system should explain its reasons for an action, its expectations of itself, changes in the environment that impact decision making, probabilities and the elements within them, safety implications and mitigation strategies, robot health and component failures during decision making in nuclear deployments. We determine that these factors could be explained with cause, reason, and enabling factor explanations.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900852","","Industries;Job shop scheduling;Navigation;Service robots;Decision making;Probability;Safety","decision making;human resource management;organisational aspects;probability;project management","robotics;explainability;interview study;nuclear industry experts;explainable intelligent systems;potential use cases;navigation scenario;task scheduling scenario;inductive thematic analysis;explainable systems;intelligent system;environment that impact decision;robot health;component failures;decision making;nuclear deployments;AI systems;nuclear facilities explain decisions;way humans do","","1","","23","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Explain yourself! Effects of Explanations in Human-Robot Interaction","J. Ambsdorf; A. Munir; Y. Wei; K. Degkwitz; H. M. Harms; S. Stannek; K. Ahrens; D. Becker; E. Strahl; T. Weber; S. Wermter","Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany; Department of Informatics, Knowledge Technology Group (WTM), Universität Hamburg, Hamburg, Germany","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","393","400","Recent developments in explainable artificial intelligence promise the potential to transform human-robot interaction: Explanations of robot decisions could affect user perceptions, justify their reliability, and increase trust. However, the effects on human perceptions of robots that explain their decisions have not been studied thoroughly. To analyze the effect of explainable robots, we conduct a study in which two simulated robots play a competitive board game. While one robot explains its moves, the other robot only announces them. Providing explanations for its actions was not sufficient to change the perceived competence, intelligence, likeability or safety ratings of the robot. However, the results show that the robot that explains its moves is perceived as more lively and human-like. This study demonstrates the need for and potential of explainable human-robot interaction and the wider assessment of its effects as a novel research direction.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900558","","Games;Transforms;Cognition;Safety;Reliability;Task analysis;Artificial intelligence","computer games;explanation;human-robot interaction","human-robot interaction;explainable artificial intelligence;robot decisions;explainable robots;simulated robots;competitive board game;safety ratings","","1","","71","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Connecting Semantic Building Information Models and Robotics: An application to 2D LiDAR-based localization","R. W. M. Hendrikx; P. Pauwels; E. Torta; H. P. J. Bruyninckx; M. J. G. van de Molengraft","Faculty of Mechanical Engineering, Eindhoven University of Technology, The Netherlands; Faculty of Built Environment, Eindhoven University of Technology, The Netherlands; Faculty of Mechanical Engineering, Eindhoven University of Technology, The Netherlands; Faculty of Mechanical Engineering, Eindhoven University of Technology, The Netherlands; Faculty of Mechanical Engineering, Eindhoven University of Technology, The Netherlands","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","11654","11660","This paper proposes a method to integrate the rich semantic data-set provided by Building Information Modeling (BIM) with robotics world models, taking as use case indoor semantic localization in a large university building. We convert a subset of semantic entities with associated geometry present in BIM models and represented in the Industry Foundation Classes (IFC) data format to a robot-specific world model representation. This representation is then stored in a spatial database from which the robot can query semantic objects in its immediate surroundings. The contribution of this work is that, from this query, the robot’s feature detectors are configured and used to make explicit data associations with semantic structural objects from the BIM model that are located near the robot’s current position. A graph-based approach is then used to localize the robot, incorporating the explicit map-feature associations for localization. We show that this explainable model-based approach allows a robot equipped with a 2D LiDAR and odometry to track its pose in a large indoor environment for which a BIM model is available.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561129","","Location awareness;Industries;Geometry;Laser radar;Service robots;Semantics;Buildings","building information modelling;distance measurement;educational institutions;geometry;graph theory;industrial robots;mobile robots;optical radar;query processing;robot vision;service robots;SLAM (robots);visual databases","building information modeling;university building;BIM model;Industry Foundation Classes data;robot-specific world model representation;query semantic objects;explicit data associations;semantic structural objects;graph-based approach;explicit map-feature associations;explainable model;odometry;2D LiDAR-based localization;semantic building information models;semantic dataset;indoor semantic localization;robot feature detectors","","3","","28","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Behavior Explanation as Intention Signaling in Human-Robot Teaming","Z. Gong; Y. Zhang","Computer Science and Engineering Department at Arizona, State University; Computer Science and Engineering Department at Arizona, State University","2018 27th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN)","8 Nov 2018","2018","","","1005","1011","Facilitating a shared team understanding is an important task in human-robot teaming. In order to achieve efficient collaboration between the human and robot, it requires not only the robot to understand what the human is doing, but also the robot's behavior be understood by (a.k.a. explainable to) the human. While most prior work has focused on the first aspect, the latter has also begun to draw significant attention. We propose an approach to explaining robot behavior as intention signaling using natural language sentences. In contrast to recent approaches to generating explicable and legible plans, intention signaling does not require the robot to deviate from its optimal plan; neither does it require humans to update their knowledge as generally required for explanation generation. The key questions to be answered here for intention signaling are the what (content of signaling) and when (timing). Based on our prior work, we formulate human interpreting robot actions as a labeling process to be learned. To capture the dependencies between the interpretation of robot actions that are far apart, skip-chain Conditional Random Fields (CRFs) are used. The answers to the when and what can then be converted to an inference problem in the skip-chain CRFs. Potential timings and content of signaling are explored by fixing the labels of certain actions in the CRF model; the configuration that maximizes the underlying probability of being able to associate a label with the remaining actions, which reflects the human's understanding of the robot's plan, is returned for signaling. For evaluation, we construct a synthetic domain to verify that intention signaling can help achieve better teaming by reducing criticism on robot behavior that may appear undesirable but is otherwise required, e.g., due to information asymmetry that results in misinterpretation. We use Amazon Mechanical Turk (MTurk) to assess robot behavior with two settings (i.e., with and without signaling). Results show that our approach achieves the desired effect of creating more explainable robot behavior.","1944-9437","978-1-5386-7980-7","10.1109/ROMAN.2018.8525675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525675","","Task analysis;Labeling;Solid modeling;Timing;Service robots;Natural languages","human-robot interaction;multi-robot systems;natural language processing;natural languages;probability","human-robot teaming;shared team understanding;intention signaling;legible plans;humans;behavior explanation;robot actions;robot behavior","","11","","25","IEEE","8 Nov 2018","","","IEEE","IEEE Conferences"
"Computational Modeling of Prefrontal Cortex for Meta-Cognition of a Humanoid Robot","E. Daglarli","Faculty of Computer and Informatics Engineering, Istanbul Technical University, Istanbul, Turkey","IEEE Access","3 Jun 2020","2020","8","","98491","98507","For robot intelligence and human-robot interaction (HRI), complex decision-making, interpretation, and adaptive planning processes are great challenges. These require recursive task processing and meta-cognitive reasoning mechanism. Naturally, the human brain realizes these cognitive skills by prefrontal cortex which is a part of the neocortex. Previous studies about neurocognitive robotics would not meet these requirements. Thus, it is aimed at developing a brain-inspired robot control architecture that performs spatial-temporal and emotional reasoning. In this study, we present a novel solution that covers a computational model of the prefrontal cortex for humanoid robots. Computational mechanisms are mainly placed on the bio-physical plausible neural structures embodied in different dynamics. The main components of the system are composed of several computational modules including dorsolateral, ventrolateral, anterior, and medial prefrontal regions. Also, it is responsible for organizing the working memory. A reinforcement meta-learning based explainable artificial intelligence (xAI) procedure is applied to the working memory regions of the computational prefrontal cortex model. Experimental evaluation and verification tests are processed by the developed software framework embodied in the humanoid robot platform. The humanoid robots' perceptual states and cognitive processes including emotion, attention, and intention-based reasoning skills can be observed and controlled via the developed software. Several interaction scenarios are implemented to monitor and evaluate the model's performance.","2169-3536","","10.1109/ACCESS.2020.2998396","NVIDIA Corporation through the GPU Grant Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103513","Artificial intelligence;brain modeling;cognitive robotics;human-robot interaction","Computational modeling;Humanoid robots;Brain modeling;Cognition;Computer architecture;Biological system modeling","brain models;cognition;cognitive systems;decision making;humanoid robots;human-robot interaction;learning (artificial intelligence);neural nets;neurophysiology","metacognition;complex decision-making;adaptive planning processes;recursive task processing;human brain;cognitive skills;neurocognitive robotics;brain-inspired robot control architecture;spatial-temporal reasoning;emotional reasoning;dorsolateral regions;ventrolateral regions;medial prefrontal regions;computational prefrontal cortex model;humanoid robot;intention-based reasoning skills;artificial intelligence procedure;biophysical plausible neural structures;metacognitive reasoning;reinforcement metalearning;human-robot interaction;robot intelligence","","3","","110","CCBY","29 May 2020","","","IEEE","IEEE Journals"
"Explainable Hierarchical Imitation Learning for Robotic Drink Pouring","D. Zhang; Q. Li; Y. Zheng; L. Wei; D. Zhang; Z. Zhang","Tencent Robotics X, Shenzhen, China; Neuroinformatics Group, Center for Cognitive Interaction Technology (CITEC), Bielefeld University, Bielefeld, Germany; Tencent Robotics X, Shenzhen, China; Neuroinformatics Group, Center for Cognitive Interaction Technology (CITEC), Bielefeld University, Bielefeld, Germany; Neuroinformatics Group, Center for Cognitive Interaction Technology (CITEC), Bielefeld University, Bielefeld, Germany; Neuroinformatics Group, Center for Cognitive Interaction Technology (CITEC), Bielefeld University, Bielefeld, Germany","IEEE Transactions on Automation Science and Engineering","13 Oct 2022","2022","19","4","3871","3887","To accurately pour drinks into various containers is an essential skill for service robots. However, drink pouring is a dynamic process and difficult to model. Traditional deep imitation learning techniques for implementing autonomous robotic pouring have an inherent black-box effect and require a large amount of demonstration data for model training. To address these issues, an Explainable Hierarchical Imitation Learning (EHIL) method is proposed in this paper such that a robot can learn high-level general knowledge and execute low-level actions across multiple drink pouring scenarios. Moreover, with the EHIL method, a logical graph can be constructed for task execution, through which the decision-making process for action generation can be made explainable to users and the causes of failure can be traced out. Based on the logical graph, the framework is manipulable to achieve different targets while the adaptability to unseen scenarios can be achieved in an explainable manner. A series of experiments have been conducted to verify the effectiveness of the proposed method. Results indicate that EHIL outperforms the traditional behavior cloning method in terms of success rate, adaptability, manipulability, and explainability. Note to Practitioners—Pouring liquids is a common activity in people’s daily lives and all wet-lab industries. Drink pouring dynamic control is difficult to model, while the accurate perception of flow is challenging. To enable the robot to learn under unknown dynamics via observing the human demonstration, deep imitation learning can be used. To address the limitations of traditional deep neural networks, an Explainable Hierarchical Imitation Learning (EHIL) method is proposed in this paper. The proposed method enables the robot to learn a sequence of reasonable pouring phases for performing the task rather than simply execute the task via traditional behavior cloning. In this way, explainability and safety can be ensured. Manipulability can be achieved by reconstructing the logical graph. The target of this research is to obtain pouring dynamics via the learning method and realize the precise and quick pouring of drink from the source containers to various targeted containers with reliable performance, adaptability, manipulability, and explainability.","1558-3783","","10.1109/TASE.2021.3138280","Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(grant numbers:410916101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9667114","Robotic pouring;imitation learning;model learning;service robots","Robots;Task analysis;Containers;Service robots;Decision making;Data models;Liquids","control engineering computing;decision making;deep learning (artificial intelligence);graph theory;intelligent robots;manipulators;service robots","robotic drink pouring;service robots;autonomous robotic pouring;high-level general knowledge;EHIL;logical graph;deep imitation learning;pouring dynamics;explainable hierarchical imitation learning;manipulability;decision-making process;action generation;human demonstration","","2","","33","IEEE","31 Dec 2021","","","IEEE","IEEE Journals"
"Argumentation-Based Online Incremental Learning","H. Ayoobi; M. Cao; R. Verbrugge; B. Verheij","Department of Artificial Intelligence, Faculty of Science and Engineering, Bernoulli Institute, University of Groningen, Groningen, The Netherlands; Faculty of Science and Engineering, Institute of Engineering and Technology (ENTEG), University of Groningen, Groningen, The Netherlands; Department of Artificial Intelligence, Faculty of Science and Engineering, Bernoulli Institute, University of Groningen, Groningen, The Netherlands; Department of Artificial Intelligence, Faculty of Science and Engineering, Bernoulli Institute, University of Groningen, Groningen, The Netherlands","IEEE Transactions on Automation Science and Engineering","13 Oct 2022","2022","19","4","3419","3433","The environment around general-purpose service robots has a dynamic nature. Accordingly, even the robot’s programmer cannot predict all the possible external failures which the robot may confront. This research proposes an online incremental learning method that can be further used to autonomously handle external failures originating from a change in the environment. Existing research typically offers special-purpose solutions. Furthermore, the current incremental online learning algorithms cannot generalize well with just a few observations. In contrast, our method extracts a set of hypotheses, which can then be used for finding the best recovery behavior at each failure state. The proposed argumentation-based online incremental learning approach uses an abstract and bipolar argumentation framework to extract the most relevant hypotheses and model the defeasibility relation between them. This leads to a novel online incremental learning approach that overcomes the addressed problems and can be used in different domains including robotic applications. We have compared our proposed approach with state-of-the-art online incremental learning approaches, an approximation-based reinforcement learning method, and several online contextual bandit algorithms. The experimental results show that our approach learns more quickly with a lower number of observations and also has higher final precision than the other methods. Note to Practitioners—This work proposes an online incremental learning method that learns faster by using a lower number of failure states than other state-of-the-art approaches. The resulting technique also has higher final learning precision than other methods. Argumentation-based online incremental learning generates an explainable set of rules which can be further used for human-robot interaction. Moreover, testing the proposed method using a publicly available dataset suggests wider applicability of the proposed incremental learning method outside the robotics field wherever an online incremental learner is required. The limitation of the proposed method is that it aims for handling discrete feature values.","1558-3783","","10.1109/TASE.2021.3120837","Marie Skłodowska-Curie COFUND(grant numbers:754315); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9592832","Argumentation-based learning;online incremental learning;argumentation theory;general purpose service robots","Service robots;Machine learning;Learning systems","human-robot interaction;learning (artificial intelligence);service robots","online incremental learner;higher final learning precision;online contextual bandit algorithms;approximation-based reinforcement learning method;incremental learning approaches;bipolar argumentation framework;abstract argumentation framework;failure state;current incremental online learning algorithms;online incremental learning method;possible external failures;general-purpose service robots;argumentation-based online incremental learning","","2","","70","IEEE","29 Oct 2021","","","IEEE","IEEE Journals"
"Step-by-Step Task Plan Explanations Beyond Causal Links","F. Lindner; C. Olz","Institute of Artificial Intelligence, Ulm University, Ulm, Germany; Institute of Artificial Intelligence, Ulm University, Ulm, Germany","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","45","51","Explainable robotics refers to the challenge of designing robots that can make their decisions transparent to humans. Recently, a number of approaches to task plan explanation have been proposed, which enable robots to explain each step in their plan to humans. These approaches have in common that they are based on the causal links in the plan. We discuss problems with using causal links for plan explanation. Particularly, their inability to distinguish enabling actions from requiring actions can lead to counter-intuitive explanations. We propose an extension that allows for making this relevant distinction and demonstrate how it can be applied to create a robot that explains its actions.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900590","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900590","","Timing;Task analysis;Robots","decision making;explanation;human-robot interaction;intelligent robots;mobile robots","causal links;explainable robotics;task plan explanation;counter-intuitive explanations;robot design;decision making;autonomous systems","","","","22","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Tempering Transparency in Human-Robot Interaction","K. Rogers; A. Howard","Georgia Institute of Technology College of Computing, Atlanta, GA, USA; The Ohio State University College of Engineering, Columbus, OH, USA","2023 IEEE International Symposium on Ethics in Engineering, Science, and Technology (ETHICS)","23 Jun 2023","2023","","","01","02","In recent years, particular interest has been taken by researchers and governments in examining and regulating aspects of transparency and explainability within artificially intelligent (AI) system. An AI system is “transparent” if humans can understand the mechanisms behind its behavior and use this understanding to make predictions about future behavior while the goal of explainable AI is to clarify an AI system's actions in a way that humans can understand. With this increased interest, research has presented conflicting views on the benefits of algorithmic transparency and explanations [1]. Moreover, research has also highlighted flaws within policy implementations of algorithmic transparency which generally remain too vague and often results in deficient adoption [2]. Even with these pitfalls of transparency, it seems as if the default view of many societies is that AI systems should be made more transparent and explainable; however, we argue that there needs to exist added skepticism of this position. In particular, we believe it is a useful exercise to consider exploring, as a counternarrative, an emerging area within computing that necessitates a lack of transparency-deceptive AI. The newly evolving area of research pertains to the creation (intentionally or not) of AI agents that learn to deceive humans and other AI agents. Here we define deception as “the process by which actions are chosen to manipulate beliefs so as to take advantage of the erroneous inferences” [3] and we use this interchangeably with “lying”. While there may be physically designed aspects of deception in embodied agents, such as the anthropomorphism and zoomorphism of robots [4], [5], here we wish to focus on deception related to utterances and actions of AI agents. On its surface, the idea of deceptive AI agents may not readily seem beneficial; however, there exists added effort to create AI agents that are able to be integrated socially within our societies. Seeing as deception is a foundational part of many human and animal groups, some argue that giving AI agents the ability to learn to deceive is necessary and inevitable for them to truly interact effectively [6], [7]. In fact, it has been found that deception can be an emergent behavior when training systems on human data [8]-thus strengthening the notion that behaving deceptively is a part of what it means to interact with humans. Moreover, prior research has shown that AI deception, rather than transparent truthfulness, can lead to better outcomes in human-robot interactions [9]–[11]. However, deception does of course have obvious drawbacks including an erosion of trust [12]–[15] and decreasing desired reutilization [12], [15]. Because of these negative aspects, and the clear possibly of malicious usage, some suggest the need for entirely truthful agents [16]. However, due to the infancy and lack of knowledge of the effects (short and long term) of deception within human-AI agent interaction, it is currently not possible to definitively determine the lasting implications of either encouraging or banning the practice. Given that transparency and explainability are in contention with deception, while also neither of the ideas are entirely beneficial nor detrimental, this presents important nuance when determining ethical and regulatory considerations of how AI agents should behave [17]. As such, the goal of this work is to present AI deception as a counternarrative to balance transparency and explainability with other considerations to spur discussions on how to be proactive, rather than reactive, to unforeseen consequences of our choices when designing AI systems that interact with humans.","","978-1-6654-5713-2","10.1109/ETHICS57328.2023.10154942","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10154942","deception;transparency;explainability;artificial intelligence;robotics;HRI","","","","","","","17","IEEE","23 Jun 2023","","","IEEE","IEEE Conferences"
"Towards Explainable Shared Control using Augmented Reality","M. Zolotas; Y. Demiris","Personal Robotics Lab, Imperial College, London, UK; Personal Robotics Lab, Imperial College, London, UK","2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","28 Jan 2020","2019","","","3020","3026","Shared control plays a pivotal role in establishing effective human-robot interactions. Traditional control-sharing methods strive to complement a human's capabilities at safely completing a task, and thereby rely on users forming a mental model of the expected robot behaviour. However, these methods can often bewilder or frustrate users whenever their actions do not elicit the intended system response, forming a misalignment between the respective internal models of the robot and human. To resolve this model misalignment, we introduce Explainable Shared Control as a paradigm in which assistance and information feedback are jointly considered. Augmented reality is presented as an integral component of this paradigm, by visually unveiling the robot's inner workings to human operators. Explainable Shared Control is instantiated and tested for assistive navigation in a setup involving a robotic wheelchair and a Microsoft HoloLens with add-on eye tracking. Experimental results indicate that the introduced paradigm facilitates transparent assistance by improving recovery times from adverse events associated with model misalignment.","2153-0866","978-1-7281-4004-9","10.1109/IROS40897.2019.8968117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968117","","","augmented reality;feedback;handicapped aids;human-robot interaction;mobile robots;wheelchairs","augmented reality;human-robot interactions;mental model;expected robot behaviour;intended system response;model misalignment;human operators;robotic wheelchair;explainable shared control;control-sharing methods;assistive navigation","","9","","31","IEEE","28 Jan 2020","","","IEEE","IEEE Conferences"
