"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Conference Paper","de Graaf MM,Malle BF","People's Explanations of Robot Behavior Subtly Reveal Mental State Inferences","","2020","","","239–248","IEEE Press","Daegu, Republic of Korea","Proceedings of the 14th ACM/IEEE International Conference on Human-Robot Interaction","","2020","9781538685556","","","","It has long been assumed that when people observe robots they intuitively ascribe mind and intentionality to them, just as they do to humans. However, much of this evidence relies on experimenter-provided questions or self-reported judgments. We propose a new way of investigating people's mental state ascriptions to robots by carefully studying explanations of robot behavior. Since people's explanations of human behavior are deeply grounded in assumptions of mind and intentional agency, explanations of robot behavior can reveal whether such assumptions similarly apply to robots. We designed stimulus behaviors that were representative of a variety of robots in diverse contexts and ensured that people saw the behaviors as equally intentional, desirable, and surprising across both human and robot agents. We provided 121 participants with verbal descriptions of these behaviors and asked them to explain in their own words why the agent (human or robot) had performed them. To systematically analyze the verbal data, we used a theoretically grounded classification method to identify core explanation types. We found that people use the same conceptual toolbox of behavior explanations for both human and robot agents, robustly indicating inferences of intentionality and mind. But people applied specific explanatory tools at somewhat different rates and in somewhat different ways for robots, revealing specific expectations people hold when explaining robot behaviors.","human-robot-interaction, behavior explanation, folk psychology, theory of mind, mental state inference","","HRI '19"
"Conference Paper","Wich A,Schultheis H,Beetz M","Empirical Estimates on Hand Manipulation Are Recoverable: A Step Towards Individualized and Explainable Robotic Support in Everyday Activities","","2022","","","1382–1390","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 21st International Conference on Autonomous Agents and Multiagent Systems","Virtual Event, New Zealand","2022","9781450392136","","","","A key challenge for robotic systems is to figure out the behavior of another agent. The capability to draw correct inferences is crucial to derive human behavior from examples.Processing correct inferences is especially challenging when (confounding) factors are not controlled experimentally (observational evidence). For this reason, robots that rely on inferences that are correlational risk a biased interpretation of the evidence.We propose equipping robots with the necessary tools to conduct observational studies on people. Specifically, we propose and explore the feasibility of structural causal models with non-parametric estimators to derive empirical estimates on hand behavior in the context of object manipulation in a virtual kitchen scenario. In particular, we focus on inferences under (the weaker) conditions of partial confounding (the model covering only some factors) and confront estimators with hundreds of samples instead of the typical order of thousands. Studying these conditions explores the boundaries of the approach and its viability.Despite the challenging conditions, the estimates inferred from the validation data are correct. Moreover, these estimates are stable against three refutation strategies where four estimators are in agreement. Furthermore, the causal quantity for two individuals reveals the sensibility of the approach to detect positive and negative effects.The validity, stability, and explainability of the approach are encouraging and serve as the foundation for further research.","robotics, causal inference, treatment effect estimation, human behavior","","AAMAS '22"
"Conference Paper","Stange S,Kopp S","Effects of a Social Robot's Self-Explanations on How Humans Understand and Evaluate Its Behavior","","2020","","","619–627","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","Cambridge, United Kingdom","2020","9781450367462","","https://doi.org/10.1145/3319502.3374802;http://dx.doi.org/10.1145/3319502.3374802","10.1145/3319502.3374802","Social robots interacting with users in real-life environments will often show surprising or even undesirable behavior. In this paper we investigate whether a robot's ability to self-explain its behavior affects the users' perception and assessment of this behavior. We propose an explanation model based on humans' folk-psychological concepts and test different explanation strategies in specifically designed HRI scenarios with robot behaviors perceived as intentional, but differently surprising or desirable. All types of explanation strategies increased the understandability and desirability of the behaviors. While merely stating an action had similar effects as giving a reason for it (an intention or need), combining both in a causal explanation helped the robot to better justify its behavior and to increase its understandability and desirability to a larger extent.","behavior explanations, perception study, human-robot interaction","","HRI '20"
"Conference Paper","Sridharan M,Meadows B,Colaco Z","A Tale of Many Explanations: Towards an Explanation Generation System for Robots","","2016","","","260–267","Association for Computing Machinery","New York, NY, USA","Proceedings of the 31st Annual ACM Symposium on Applied Computing","Pisa, Italy","2016","9781450337397","","https://doi.org/10.1145/2851613.2851705;http://dx.doi.org/10.1145/2851613.2851705","10.1145/2851613.2851705","A fundamental challenge in robotics is to reason with incomplete domain knowledge to explain unexpected observations, and partial descriptions of domain objects and events extracted from sensor observations. Existing explanation generation systems are based on ideas drawn from two broad classes of systems, and do not support all the desired explanation generation capabilities for robots. The objective of this paper is to first compare the explanation generation capabilities of a state of the art system from each of these two classes, using execution scenarios of a robot waiter assisting in a restaurant. Specifically, we investigate KRASP, a system based on the declarative language Answer Set Prolog, which uses an elaborate system description and observations of system behavior to explain unexpected observations and partial descriptions. We also explore UMBRA, an architecture that provides explanations using a weaker system description, a heuristic representation of past experience, and other heuristics for selectively and incrementally searching through relevant ground literals. Based on this study, this paper identifies some key criteria, and provides some recommendations, for developing an explanation generation system for robots that exploits the complementary strengths of the two classes of explanation generation systems.","heuristic guidance, robotics, explanation generation, answer set prolog, cognitive systems","","SAC '16"
"Conference Paper","Hald K,Weitz K,André E,Rehm M","“An Error Occurred!” - Trust Repair With Virtual Robot Using Levels of Mistake Explanation","","2021","","","218–226","Association for Computing Machinery","New York, NY, USA","Proceedings of the 9th International Conference on Human-Agent Interaction","Virtual Event, Japan","2021","9781450386203","","https://doi.org/10.1145/3472307.3484170;http://dx.doi.org/10.1145/3472307.3484170","10.1145/3472307.3484170","Human-robot collaboration in industrial settings is an expanding research field in robotics. When working together, robot mistakes are an important factor to decrease trust and therefore interferes with cooperation. It is unclear whether explanations help to restore human-robot trust after a mistake. In our study, we investigate whether system explanations as a trust-repairing action after a robot makes a mistake in a collaborative task is helpful. Our pilot study revealed that users are more interested in solutions to errors than they are in just why the error happened. Therefore, in our main study, we evaluated three levels of mistake explanations (no explanation, explanation, and explanation with solution) after a robot in VR made a mistake in executing a shared objective. After testing with 30 participants we found that the robot making a mistake significantly affects trust toward the robot, compared to it completing the task successfully. While participants found the explanations helpful to trust or distrust the robot, the levels of the explanation did not lead to an increase in trust towards the robot after a mistake. In addition, we found no significant impact of explanations on self-efficacy and the emotional state of the participants. Our results show that explanations alone are not sufficient to increase human-computer trust after robot mistakes.","virtual reality, human-robot trust, human-robot collaboration, XAI, robot mistakes, proximity","","HAI '21"
"Conference Paper","Wang N,Pynadath DV,Hill SG","Trust Calibration within a Human-Robot Team: Comparing Automatically Generated Explanations","","2016","","","109–116","IEEE Press","Christchurch, New Zealand","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","","2016","9781467383707","","","","Trust is a critical factor for achieving the full potential of human-robot teams. Researchers have theorized that people will more accurately trust an autonomous system, such as a robot, if they have a more accurate understanding of its decision-making process. Studies have shown that hand-crafted explanations can help maintain trust when the system is less than 100% reliable. In this work, we leverage existing agent algorithms to provide a domain-independent mechanism for robots to automatically generate such explanations. To measure the explanation mechanism's impact on trust, we collected self-reported survey data and behavioral data in an agent-based online testbed that simulates a human-robot team task. The results demonstrate that the added explanation capability led to improvement in transparency, trust, and team performance. Furthermore, by observing the different outcomes due to variations in the robot's explanation content, we gain valuable insight that can help lead to refinement of explanation algorithms to further improve human-robot trust calibration.","pomdp, explainable a.i., trust, human-robot interaction","","HRI '16"
"Conference Paper","Park J,Kim J,Kim Y,Kim J,Kim MG,Choi J,Lee W","User Perception on Personalized Explanation by Science Museum Docent Robot","","2022","","","973–975","IEEE Press","Sapporo, Hokkaido, Japan","Proceedings of the 2022 ACM/IEEE International Conference on Human-Robot Interaction","","2022","","","","","As the number of docent robots in museums has increased, robot personalization services have become important. A survey-based experiment was conducted to catch the difference in perceptions of personalized service for exhibition visitors. As a result, it was found that the background knowledge of the visitors listening to the explanation had an effect on the perception of the personalized service. The finding gives us a set of design criteria for personalized museum guide robot services.","background knowledge, guidance, personalization services, docent robots, hri","","HRI '22"
"Journal Article","Schodde T,Hoffmann L,Stange S,Kopp S","Adapt, Explain, Engage—A Study on How Social Robots Can Scaffold Second-Language Learning of Children","J.  Hum. -Robot Interact.","2019","9","1","","Association for Computing Machinery","New York, NY, USA","","","2019-12","","","https://doi.org/10.1145/3366422;http://dx.doi.org/10.1145/3366422","10.1145/3366422","Social robots are increasingly applied to support children’s learning, but how a robot can foster (or may hinder) learning is still not fully clear. One technique used by teachers is scaffolding, temporarily assisting learners to achieve new skills or levels of understanding they would not reach on their own. We ask if and how a social robot can be utilized to scaffold second-language learning of children at kindergarten age (4--7 years). Specifically, we explore an adapt-and-explain scaffolding strategy in which a robot acts as a peer-like tutor who dynamically adapts its behavior or the learning tasks to the cognitive and affective state of the child, and provides verbal explanations of these adaptations. An evaluation study with 40 children shows that children benefit from the learning adaptation and that the explanations have a positive effect especially for slower learners. Further, in 76% of all cases the robot managed to “re-engage” children who started to disengage from the learning interaction, helping them to achieve an overall higher learning gain. These findings demonstrate that a social robot equipped with suitable scaffolding mechanisms can increase engagement and learning, especially when being adaptive to the individual behavior and states of a child learner.","open learner model, engagement, scaffolding, transparency, Adaptive robot tutoring","",""
"Conference Paper","Hayes B,Shah JA","Improving Robot Controller Transparency Through Autonomous Policy Explanation","","2017","","","303–312","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","Vienna, Austria","2017","9781450343367","","https://doi.org/10.1145/2909824.3020233;http://dx.doi.org/10.1145/2909824.3020233","10.1145/2909824.3020233","Shared expectations and mutual understanding are critical facets of teamwork. Achieving these in human-robot collaborative contexts can be especially challenging, as humans and robots are unlikely to share a common language to convey intentions, plans, or justifications. Even in cases where human co-workers can inspect a robot's control code, and particularly when statistical methods are used to encode control policies, there is no guarantee that meaningful insights into a robot's behavior can be derived or that a human will be able to efficiently isolate the behaviors relevant to the interaction. We present a series of algorithms and an accompanying system that enables robots to autonomously synthesize policy descriptions and respond to both general and targeted queries by human collaborators. We demonstrate applicability to a variety of robot controller types including those that utilize conditional logic, tabular reinforcement learning, and deep reinforcement learning, synthesizing informative policy descriptions for collaborators and facilitating fault diagnosis by non-experts.","interpretable machine learning, human-robot teaming, human-robot interaction, human-robot collaboration","","HRI '17"
"Journal Article","Arnold T,Kasenberg D,Scheutz M","Explaining in Time: Meeting Interactive Standards of Explanation for Robotic Systems","J.  Hum. -Robot Interact.","2021","10","3","","Association for Computing Machinery","New York, NY, USA","","","2021-07","","","https://doi.org/10.1145/3457183;http://dx.doi.org/10.1145/3457183","10.1145/3457183","Explainability has emerged as a critical AI research objective, but the breadth of proposed methods and application domains suggest that criteria for explanation vary greatly. In particular, what counts as a good explanation, and what kinds of explanation are computationally feasible, has become trickier in light of oqaque “black box” systems such as deep neural networks. Explanation in such cases has drifted from what many philosophers stipulated as having to involve deductive and causal principles to mere “interpretation,” which approximates what happened in the target system to varying degrees. However, such post hoc constructed rationalizations are highly problematic for social robots that operate interactively in spaces shared with humans. For in such social contexts, explanations of behavior, and, in particular, justifications for violations of expected behavior, should make reference to socially accepted principles and norms. In this article, we show how a social robot’s actions can face explanatory demands for how it came to act on its decision, what goals, tasks, or purposes its design had those actions pursue and what norms or social constraints the system recognizes in the course of its action. As a result, we argue that explanations for social robots will need to be accurate representations of the system’s operation along causal, purposive, and justificatory lines. These explanations will need to generate appropriate references to principles and norms—explanations based on mere “interpretability” will ultimately fail to connect the robot’s behaviors to its appropriate determinants. We then lay out the foundations for a cognitive robotic architecture for HRI, together with particular component algorithms, for generating explanations and engaging in justificatory dialogues with human interactants. Such explanations track the robot’s actual decision-making and behavior, which themselves are determined by normative principles the robot can describe and use for justifications.","Explainability, normative HRI, architectural requirements","",""
"Conference Paper","Abdulrahman A,Richards D","Modelling Therapeutic Alliance Using a User-Aware Explainable Embodied Conversational Agent to Promote Treatment Adherence","","2019","","","248–251","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th ACM International Conference on Intelligent Virtual Agents","Paris, France","2019","9781450366724","","https://doi.org/10.1145/3308532.3329413;http://dx.doi.org/10.1145/3308532.3329413","10.1145/3308532.3329413","Non-adherence to a treatment plan recommended by the therapist is a key cause of the increasing rate of chronic medical conditions globally. The therapist-patient therapeutic alliance is regarded as a successful intervention and a good predictor of treatment adherence. Similar to the human scenario, embodied conversational agents (ECAs) showed evidence of their ability to build an agent-patient therapeutic alliance, which motivates the effort to advance ECAs as a potential solution to improve treatment adherence and consequently the health outcome. Building therapeutic alliance implies the need for a positive environment where the ECA and the patient can share their knowledge and discuss their goals, preferences and tasks towards building a shared plan, which is commonly done using explanations. However, explainable agents commonly rely on their own knowledge and goals in providing explanations, rather than the beliefs, plans or goals of the user. It is not clear whether such explanations, in individual-specific contexts such as personal health assistance, are perceived by the user as relevant in decision-making towards their own behavior change. Therefore, in this research, we are developing a user-aware explainable ECA by embedding the cognitive agent architecture with a user model, explanation engine and modified planner to implement the concept of SharedPlans. The developed agent will be deployed and evaluated with real patients and the therapeutic alliance will be measured using standard measurements.","therapeutic alliance, explainable agent, shared planning","","IVA '19"
"Journal Article","Thellman S,Ziemke T","The Perceptual Belief Problem: Why Explainability Is a Tough Challenge in Social Robotics","J.  Hum. -Robot Interact.","2021","10","3","","Association for Computing Machinery","New York, NY, USA","","","2021-07","","","https://doi.org/10.1145/3461781;http://dx.doi.org/10.1145/3461781","10.1145/3461781","The explainability of robotic systems depends on people’s ability to reliably attribute perceptual beliefs to robots, i.e., what robots know (or believe) about objects and events in the world based on their perception. However, the perceptual systems of robots are not necessarily well understood by the majority of people interacting with them. In this article, we explain why this is a significant, difficult, and unique problem in social robotics. The inability to judge what a robot knows (and does not know) about the physical environment it shares with people gives rise to a host of communicative and interactive issues, including difficulties to communicate about objects or adapt to events in the environment. The challenge faced by social robotics researchers or designers who want to facilitate appropriate attributions of perceptual beliefs to robots is to shape human–robot interactions so that people understand what robots know about objects and events in the environment. To meet this challenge, we argue, it is necessary to advance our knowledge of when and why people form incorrect or inadequate mental models of robots’ perceptual and cognitive mechanisms. We outline a general approach to studying this empirically and discuss potential solutions to the problem.","understandability, explainability, predictability, intentional stance, belief attribution, intentionality, social robotics, common ground, mental state attribution, Human-robot interaction","",""
"Journal Article","Wijnen FM,Davison DP,Reidsma D,Meij J,Charisi V,Evers V","Now We’Re Talking: Learning by Explaining Your Reasoning to a Social Robot","J.  Hum. -Robot Interact.","2019","9","1","","Association for Computing Machinery","New York, NY, USA","","","2019-12","","","https://doi.org/10.1145/3345508;http://dx.doi.org/10.1145/3345508","10.1145/3345508","This article presents a study in which we explored the effect of a social robot on the explanatory behavior of children (aged 6--10) while working on an inquiry learning task. In a comparative experiment, we offered children either a baseline Computer Aided Learning (CAL) system or the same CAL system that was supplemented with a social robot to verbally explain their thoughts to. Results indicate that when children made observations in an inquiry learning context, the robot was better able to trigger elaborate explanatory behavior. First, this is shown by a longer duration of explanatory utterances by children who worked with the robot compared to the baseline CAL system. Second, a content analysis of the explanations indicated that children who worked with the robot included more relevant utterances about the task in their explanation. Third, the content analysis shows that children made more logical associations between relevant facets in their explanations when they explained to a robot compared to a baseline CAL system. These results show that social robots that are used as extensions to CAL systems may be beneficial for triggering explanatory behavior in children, which is associated with deeper learning.","learning by explaining, Social robotics, inquiry learning, computer-aided learning system","",""
"Conference Paper","Brandao M,Mansouri M,Mohammed A,Luff P,Coles A","Explainability in Multi-Agent Path/Motion Planning: User-Study-Driven Taxonomy and Requirements","","2022","","","172–180","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 21st International Conference on Autonomous Agents and Multiagent Systems","Virtual Event, New Zealand","2022","9781450392136","","","","Multi-Agent Path Finding (MAPF) and Multi-Robot Motion Planning (MRMP) are complex problems to solve, analyze and build algorithms for. Automatically-generated explanations of algorithm output, by improving human understanding of the underlying problems and algorithms, could thus lead to better user experience, developer knowledge, and MAPF/MRMP algorithm designs. Explanations are contextual, however, and thus developers need a good understanding of the questions that can be asked about algorithm output, the kinds of explanations that exist, and the potential users and uses of explanations in MAPF/MRMP applications. In this paper we provide a first step towards establishing a taxonomy of explanations, and a list of requirements for the development of explainable MAPF/MRMP planners. We use interviews and a questionnaire with expert developers and industry practitioners to identify the kinds of questions, explanations, users, uses, and requirements of explanations that should be considered in the design of such explainable planners. Our insights cover a diverse set of applications: warehouse automation, computer games, and mining.","explainable planning, explainable AI, multi-agent path finding, multi-robot motion planning","","AAMAS '22"
