Authors,Title,Year,Link,Abstract,Author Keywords,Index Keywords
"Ahmed I., Jeon G., Piccialli F.","From Artificial Intelligence to Explainable Artificial Intelligence in Industry 4.0: A Survey on What, How, and Where",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124093314&doi=10.1109%2fTII.2022.3146552&partnerID=40&md5=e2560c01bd58b59a3cdce298a02917fd","Nowadays, Industry 4.0 can be considered a reality, a paradigm integrating modern technologies and innovations. Artificial intelligence (AI) can be considered the leading component of the industrial transformation enabling intelligent machines to execute tasks autonomously such as self-monitoring, interpretation, diagnosis, and analysis. AI-based methodologies (especially machine learning and deep learning support manufacturers and industries in predicting their maintenance needs and reducing downtime. Explainable artificial intelligence (XAI) studies and designs approaches, algorithms and tools producing human-understandable explanations of AI-based systems information and decisions. This article presents a comprehensive survey of AI and XAI-based methods adopted in the Industry 4.0 scenario. First, we briefly discuss different technologies enabling Industry 4.0. Then, we present an in-depth investigation of the main methods used in the literature: we also provide the details of what, how, why, and where these methods have been applied for Industry 4.0. Furthermore, we illustrate the opportunities and challenges that elicit future research directions toward responsible or human-centric AI and XAI systems, essential for adopting high-stakes industry applications. © 2005-2012 IEEE.","Artificial intelligence (AI); cloud computing; cyber-physical system; explainable artificial intelligence (XAI); Industry 4.0; Internet of Things (IoT)","Deep learning; Embedded systems; Hidden Markov models; Industry 4.0; Intelligent robots; Surveys; Cloud-computing; Explainable artificial intelligence; Hidden-Markov models; Industrial transformations; Industry 40; Intelligent machine; Modern technologies; Monitoring interpretation; Self-monitoring; Service robots; Cyber Physical System"
"Lyu Y., Liang P.P., Deng Z., Salakhutdinov R., Morency L.-P.","DIME: Fine-grained Interpretations of Multimodal Models via Disentangled Local Explanations",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137165724&doi=10.1145%2f3514094.3534148&partnerID=40&md5=6a30f3d27f98a2740ac7cbf72130d948","The ability for a human to understand an Artificial Intelligence (AI) model's decision-making process is critical in enabling stakeholders to visualize model behavior, perform model debugging, promote trust in AI models, and assist in collaborative human-AI decision-making. As a result, the research fields of interpretable and explainable AI have gained traction within AI communities as well as interdisciplinary scientists seeking to apply AI in their subject areas. In this paper, we focus on advancing the state-of-The-Art in interpreting multimodal models-a class of machine learning methods that tackle core challenges in representing and capturing interactions between heterogeneous data sources such as images, text, audio, and time-series data. Multimodal models have proliferated numerous real-world applications across healthcare, robotics, multimedia, affective computing, and human-computer interaction. By performing model disentanglement into unimodal contributions (UC) and multimodal interactions (MI), our proposed approach, DIME, enables accurate and fine-grained analysis of multimodal models while maintaining generality across arbitrary modalities, model architectures, and tasks. Through a comprehensive suite of experiments on both synthetic and real-world multimodal tasks, we show that DIME generates accurate disentangled explanations, helps users of multimodal models gain a deeper understanding of model behavior, and presents a step towards debugging and improving these models for real-world deployment. © 2022 Owner/Author.","explainability; interpretability; multimodal machine learning; visualization","Decision making; Human computer interaction; Human robot interaction; Interactive computer systems; Learning systems; Explainability; Fine grained; Intelligence models; Interpretability; Machine-learning; Modeling behaviour; Multi-modal; Multimodal machine learning; Multimodal models; Real-world; Machine learning"
"Yeh J.-F., Chung C.-M., Su H.-T., Chen Y.-T., Hsu W.H.","Stage Conscious Attention Network (SCAN): A Demonstration-Conditioned Policy for Few-Shot Imitation",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147719171&partnerID=40&md5=af9637161a4fb98616a2fb78cb571a89","In few-shot imitation learning (FSIL), using behavioral cloning (BC) to solve unseen tasks with few expert demonstrations becomes a popular research direction. The following capabilities are essential in robotics applications: (1) Behaving in compound tasks that contain multiple stages. (2) Retrieving knowledge from few length-variant and misalignment demonstrations. (3) Learning from an expert different from the agent. No previous work can achieve these abilities at the same time. In this work, we conduct FSIL problem under the union of above settings and introduce a novel stage conscious attention network (SCAN) to retrieve knowledge from few demonstrations simultaneously. SCAN uses an attention module to identify each stage in length-variant demonstrations. Moreover, it is designed under demonstration-conditioned policy that learns the relationship between experts and agents. Experiment results show that SCAN can perform in complicated compound tasks without fine-tuning and provide the explainable visualization. Project page is at https://sites.google.com/view/scan-aaai2022. Copyright © 2022, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,"Artificial intelligence; Clone cells; Behavioural cloning; Imitation learning; Learn+; Learning problem; Length variants; Multiple stages; Robotics applications; Without fine-tuning; Demonstrations"
"Guo M., Burger M.","Geometric Task Networks: Learning Efficient and Explainable Skill Coordination for Object Manipulation",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118644235&doi=10.1109%2fTRO.2021.3111481&partnerID=40&md5=a7b5f5aacfd32070ca8e22ad679dbe40","Complex manipulation tasks can contain various execution branches of primitive skills in sequence or in parallel under different scenarios. Manual specifications of such branching conditions and associated skill parameters are not only error-prone due to corner cases, but also quickly untraceable given a large number of objects and skills. On the other hand, learning from demonstration has increasingly shown to be an intuitive and effective way to program such skills for industrial robots. Parameterized skill representations allow generalization over new scenarios, which however makes the planning process much slower thus unsuitable for online applications. In this article, we propose a hierarchical and compositional planning framework that learns a geometric task network (GTN) from exhaustive planners, without any manual inputs. A GTN is a goal-dependent task graph that encapsulates both the transition relations among skill representations and the geometric constraints underlying these transitions. This framework has shown to improve dramatically the offline learning efficiency, the online performance, and the transparency of decision process, by leveraging the task-parameterized models. We demonstrate the approach on a 7-DoF robot arm both in simulation and on hardware solving various manipulation tasks. © 2021 IEEE.","Industrial automation; learning from demonstration (LfD); robotic manipulation; task and motion planning (TAMP)","Coordination reactions; Geometry; Industrial robots; Job analysis; Mobile robots; Motion planning; Robot programming; Industrial automation; Learning from demonstration; Motion-planning; Robot kinematics; Robotic manipulation; Service robots; Task analysis; Task and motion planning; Task planning; Training data; Personnel training"
"Stange S., Hassan T., Schröder F., Konkol J., Kopp S.","Self-Explaining Social Robots: An Explainable Behavior Generation Architecture for Human-Robot Interaction",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130217901&doi=10.3389%2ffrai.2022.866920&partnerID=40&md5=675bf5c1aa47cecceb66d32ba8c51168","In recent years, the ability of intelligent systems to be understood by developers and users has received growing attention. This holds in particular for social robots, which are supposed to act autonomously in the vicinity of human users and are known to raise peculiar, often unrealistic attributions and expectations. However, explainable models that, on the one hand, allow a robot to generate lively and autonomous behavior and, on the other, enable it to provide human-compatible explanations for this behavior are missing. In order to develop such a self-explaining autonomous social robot, we have equipped a robot with own needs that autonomously trigger intentions and proactive behavior, and form the basis for understandable self-explanations. Previous research has shown that undesirable robot behavior is rated more positively after receiving an explanation. We thus aim to equip a social robot with the capability to automatically generate verbal explanations of its own behavior, by tracing its internal decision-making routes. The goal is to generate social robot behavior in a way that is generally interpretable, and therefore explainable on a socio-behavioral level increasing users' understanding of the robot's behavior. In this article, we present a social robot interaction architecture, designed to autonomously generate social behavior and self-explanations. We set out requirements for explainable behavior generation architectures and propose a socio-interactive framework for behavior explanations in social human-robot interactions that enables explaining and elaborating according to users' needs for explanation that emerge within an interaction. Consequently, we introduce an interactive explanation dialog flow concept that incorporates empirically validated explanation types. These concepts are realized within the interaction architecture of a social robot, and integrated with its dialog processing modules. We present the components of this interaction architecture and explain their integration to autonomously generate social behaviors as well as verbal self-explanations. Lastly, we report results from a qualitative evaluation of a working prototype in a laboratory setting, showing that (1) the robot is able to autonomously generate naturalistic social behavior, and (2) the robot is able to verbally self-explain its behavior to the user in line with users' requests. Copyright © 2022 Stange, Hassan, Schröder, Konkol and Kopp.","autonomous explanation generation; explainability; human-robot interaction (HRI); interaction architecture; social robots; socio-interactive explanation generation; transparency; user-centered explanation generation",
"Abdulrahman A., Richards D., Bilgin A.A.","Exploring the influence of a user-specific explainable virtual advisor on health behaviour change intentions",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127490843&doi=10.1007%2fs10458-022-09553-x&partnerID=40&md5=6d946864d6dcab44a50eb5dc2db92ec5","Virtual advisors (VAs) are being utilised almost in every service nowadays from entertainment to healthcare. To increase the user’s trust in these VAs and encourage the users to follow their advice, they should have the capability of explaining their decisions, particularly, when the decision is vital such as health advice. However, the role of an explainable VA in health behaviour change is understudied. There is evidence that people tend to change their intentions towards health behaviour when the persuasion message is linked to their mental state. Thus, this study explores this link by introducing an explainable VA that provides explanation according to the user’s mental state (beliefs and goals) rather than the agent’s mental state as commonly utilised in explainable agents. It further explores the influence of different explanation patterns that refer to beliefs, goals, or beliefs&goals on the user’s behaviour change. An explainable VA was designed to advise undergraduate students how to manage their study-related stress by motivating them to change certain behaviours. With 91 participants, the VA was evaluated and the results revealed that user-specific explanation could significantly encourage behaviour change intentions and build good user-agent relationship. Small differences were found between the three types of explanation patterns. © 2022, The Author(s).","Behaviour change intention; Explainable agents; Personal virtual advisor; Reason explanation; Trust; Working alliance","Health; Behavior change intention; Behaviour changes; Explainable agent; Health behaviors; Mental state; Personal virtual advisor; Reason explanation; Trust; Undergraduate students; Working alliance; Students"
"Mosca F., Such J.","An explainable assistant for multiuser privacy",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122982041&doi=10.1007%2fs10458-021-09543-5&partnerID=40&md5=61deb5bd56cb174305386cc424ec86f7","Multiuser Privacy (MP) concerns the protection of personal information in situations where such information is co-owned by multiple users. MP is particularly problematic in collaborative platforms such as online social networks (OSN). In fact, too often OSN users experience privacy violations due to conflicts generated by other users sharing content that involves them without their permission. Previous studies show that in most cases MP conflicts could be avoided, and are mainly due to the difficulty for the uploader to select appropriate sharing policies. For this reason, we present ELVIRA, the first fully explainable personal assistant that collaborates with other ELVIRA agents to identify the optimal sharing policy for a collectively owned content. An extensive evaluation of this agent through software simulations and two user studies suggests that ELVIRA, thanks to its properties of being role-agnostic, adaptive, explainable and both utility- and value-driven, would be more successful at supporting MP than other approaches presented in the literature in terms of (i) trade-off between generated utility and promotion of moral values, and (ii) users’ satisfaction of the explained recommended output. © 2022, The Author(s).","Agent-based simulations; Explainable agent; Multiuser privacy; User study","Data privacy; Economic and social effects; Software agents; Agent based simulation; Collaborative platform; Explainable agent; Multiple user; Multiuser privacy; Multiusers; Network users; Personal information; Privacy concerns; User study; Social networking (online)"
"Li X., Rosman G., Gilitschenski I., Araki B., Vasile C.-I., Karaman S., Rus D.","Learning an Explainable Trajectory Generator Using the Automaton Generative Network (AGN)",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121842278&doi=10.1109%2fLRA.2021.3135940&partnerID=40&md5=bfab9e15881c5876a9e6a0e259595887","Symbolic reasoning is a key component for enabling practical use of data-driven planners in autonomous driving. In that context, deterministic finite state automata (DFA) are often used to formalize the underlying high-level decision-making process. Manual design of an effective DFA can be tedious. In combination with deep learning pipelines, DFA can serve as an effective representation to learn and process complex behavioral patterns. The goal of this work is to leverage that potential. We propose the automaton generative network (AGN), a differentiable representation of DFAs. The resulting neural network module can be used standalone or as an embedded component within a larger architecture. In evaluations on deep learning based autonomous vehicle planning tasks, we demonstrate that incorporating AGN improves the explainability, sample efficiency, and generalizability of the model. © 2016 IEEE.","Autonomous systems; Learning automata; Robot learning","Automata theory; Decision making; Deep learning; Neural networks; Automaton; Deterministic finite state automata; Generator; Learning Automata; Neural-networks; Practical use; Robustness; Symbolic reasoning; Task analysis; Trajectory generator; Job analysis"
"Kaptein F., Kiefer B., Cully A., Celiktutan O., Bierman B., Rijgersberg-Peters R., Broekens J., Van Vught W., Van Bekkum M., Demiris Y., Neerincx M.A.","A Cloud-based Robot System for Long-term Interaction: Principles, Implementation, Lessons Learned",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124797103&doi=10.1145%2f3481585&partnerID=40&md5=874f7f4ee5a4e8dec0028e15a377a564","Making the transition to long-term interaction with social-robot systems has been identified as one of the main challenges in human-robot interaction. This article identifies four design principles to address this challenge and applies them in a real-world implementation: cloud-based robot control, a modular design, one common knowledge base for all applications, and hybrid artificial intelligence for decision making and reasoning. The control architecture for this robot includes a common Knowledge-base (ontologies), Data-base, ""Hybrid Artificial Brain""(dialogue manager, action selection and explainable AI), Activities Centre (Timeline, Quiz, Break and Sort, Memory, Tip of the Day, ), Embodied Conversational Agent (ECA, i.e., robot and avatar), and Dashboards (for authoring and monitoring the interaction). Further, the ECA is integrated with an expandable set of (mobile) health applications. The resulting system is a Personal Assistant for a healthy Lifestyle (PAL), which supports diabetic children with self-management and educates them on health-related issues (48 children, aged 6-14, recruited via hospitals in the Netherlands and in Italy). It is capable of autonomous interaction ""in the wild""for prolonged periods of time without the need for a ""Wizard-of-Oz""(up until 6 months online). PAL is an exemplary system that provides personalised, stable and diverse, long-term human-robot interaction. © 2021 Copyright held by the owner/author(s).","Cloud-based robots; conversational agents; long-term human-robot interaction; pervasive lifestyle support","Brain; Decision making; Intelligent robots; Knowledge based systems; Machine design; Man machine systems; Cloud-based; Cloud-based robot; Common knowledge; Conversational agents; Humans-robot interactions; Long-term human-robot interaction; Long-term interaction; Pervasive lifestyle support; Robots system; Social robots; Human robot interaction"
"Ghajargar M., Bardzell J., Smith-Renner A.M., Höök K., Krogh P.G.","Graspable AI: Physical Forms as Explanation Modality for Explainable AI",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124973762&doi=10.1145%2f3490149.3503666&partnerID=40&md5=d7ac9cf4c93b83b9e78880ba82d92812","Explainable AI (XAI) seeks to disclose how an AI system arrives at its outcomes. But the nature of the disclosure depends in part on who needs to understand the AI and the available explanation modalities (e.g., verbal and visual). Users' preferences regarding explanation modalities might differ, as some might prefer spoken explanations compared to visual ones. However, we argue for broadening the explanation modalities, to consider also tangible and physical forms. In traditional product design, physical forms have mediated people's interactions with objects; more recently interacting with physical forms has become prominent with IoT and smart devices, such as smart lighting and robotic vacuum cleaners. But how tangible interaction can support AI explanations is not yet well understood. In this second studio proposal on Graspable AI (GAI) we seek to explore design qualities of physical forms [12] as an explanation modality for XAI. We anticipate that the design qualities of physical forms and their tangible interactivity can not only contribute to the explainability of AI through facilitating dialogue [5], relationships [18] and human empowerment [15], but they can also contribute to critical and reflective discourses on AI [2, 13]. Therefore, this proposal contributes to design agendas that expand explainable AI into tangible modalities, supporting a more diverse range of users in their understanding of how a given AI works and the meanings of its outcomes. © 2022 Owner/Author.","Explainable AI; Human-Centered AI; Tangible Interaction","AI systems; Design Quality; Explainable AI; Human-centered AI; Robotic vacuum cleaners; Smart devices; Smart lightings; Tangible interaction; Traditional products; User's preferences; Product design"
"Wei B., Kuang K., Sun C., Feng J., Zhang Y., Zhu X., Zhou J., Zhai Y., Wu F.","A full-process intelligent trial system for smart court [一种智慧法院的全流程智能化审判系统]",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126551127&doi=10.1631%2fFITEE.2100041&partnerID=40&md5=74c3ac8782147ed4f41941a4c9a00bbd","In constructing a smart court, to provide intelligent assistance for achieving more efficient, fair, and explainable trial proceedings, we propose a full-process intelligent trial system (FITS). In the proposed FITS, we introduce essential tasks for constructing a smart court, including information extraction, evidence classification, question generation, dialogue summarization, judgment prediction, and judgment document generation. Specifically, the preliminary work involves extracting elements from legal texts to assist the judge in identifying the gist of the case efficiently. With the extracted attributes, we can justify each piece of evidence’s validity by establishing its consistency across all evidence. During the trial process, we design an automatic questioning robot to assist the judge in presiding over the trial. It consists of a finite state machine representing procedural questioning and a deep learning model for generating factual questions by encoding the context of utterance in a court debate. Furthermore, FITS summarizes the controversy focuses that arise from a court debate in real time, constructed under a multi-task learning framework, and generates a summarized trial transcript in the dialogue inspectional summarization (DIS) module. To support the judge in making a decision, we adopt first-order logic to express legal knowledge and embed it in deep neural networks (DNNs) to predict judgments. Finally, we propose an attentional and counterfactual natural language generation (AC-NLG) to generate the court’s judgment. © 2022, Zhejiang University Press.","Automatic questioning; Dialogue summarization; Evidence analysis; Focus of controversy; Intelligent trial system; Judgment prediction; Smart court; TP391","Classification (of information); Deep neural networks; Formal logic; Information retrieval systems; Machine design; Natural language processing systems; Automatic questioning; Dialog summarization; Evidence analysis; Focus of controversy; Intelligent assistances; Intelligent trial system; Judgment prediction; Smart court; Tp391; Trial systems; Forecasting"
"Lebiere C., Cranford E.A., Martin M., Morrison D., Stocco A.","Cognitive Architectures and their Applications",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150680958&doi=10.1109%2fCIC56439.2022.00018&partnerID=40&md5=745b4250e4b7078d797c4b1575cf8ac1","Cognitive architectures are computational implementations of unified theories of cognition. The consensus of 50 years of research in cognitive architectures can be captured in the form of a Common Model of Cognition that can provide a guide for applications in neuroscience, artificial intelligence and robotics. Being able to represent human cognition in computational form enables a wide range of applications when humans and machines interact. Using cognitive models to represent common ground between deep learners and human users enables adaptive explanations. Cognitive models representing the behavior of cyber attackers can be used to optimize cyber defenses including techniques such as deceptive signaling. Cognitive models of human-automation interaction can improve robustness of human-machine teams by predicting disruptions to measures of trust under various adversarial situations. © 2022 IEEE.","ACT-R; Cognitive architectures; Common model of cognition; cybersecurity; explainable Artificial Intelligence.; human-machine teaming","Architecture; Artificial intelligence; Man machine systems; ACT-R; Cognitive architectures; Cognitive model; Common model of cognition; Common models; Computational implementations; Cyber security; Explainable artificial intelligence.; Human-machine; Human-machine teaming; Computation theory"
"Zhu H., Yu C., Cangelosi A.","Affective Human-Robot Interaction with Multimodal Explanations",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149816463&doi=10.1007%2f978-3-031-24667-8_22&partnerID=40&md5=6442a4a7cddc8ed3e9909d9785113ca8","Facial expressions are one of the most practical and straightforward ways to communicate emotions. Facial Expression Recognition has been used in lots of fields such as human behaviour understanding and health monitoring. Deep learning models can achieve excellent performance in facial expression recognition tasks. As these deep neural networks have very complex nonlinear structures, when the model makes a prediction, it is not easy for human users to understand what is the basis for the model’s prediction. Specifically, we do not know which facial units contribute to the classification more or less. Developing affective computing models with more explainable and transparent feedback for human interactors is essential for a trustworthy human-robot interaction. Compared to “white-box” approaches, “black-box” approaches using deep neural networks, which have advantages in terms of overall accuracy but lack reliability and explainability. In this work, we introduce a multimodal affective human-robot interaction framework, with visual-based and verbal-based explanation, by Layer-Wise Relevance Propagation (LRP) and Local Interpretable Mode-Agnostic Explanation (LIME). The proposed framework has been tested on the KDEF dataset, and in human-robot interaction experiments with the Pepper robot. This experimental evaluation shows the benefits of linking deep learning emotion recognition systems with explainable strategies. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.","eXplainable Artificial Intelligence (XAI); Explainable robotics; Facial Expression Recognition (FER); Human-Robot Interaction (HRI)","Backpropagation; Behavioral research; Deep neural networks; Emotion Recognition; Face recognition; Intelligent robots; Lime; Man machine systems; Explainable artificial intelligence (XAI); Explainable robotic; Facial expression recognition; Facial Expressions; Health monitoring; Human behavior understanding; Human-robot interaction; Humans-robot interactions; Multi-modal; Human robot interaction"
"Schroeter N., Cruz F., Wermter S.","Introspection-based Explainable Reinforcement Learning in Episodic and Non-episodic Scenarios",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149286580&partnerID=40&md5=0b0557837851088b89a2c94bdce95cf9","With the increasing presence of robotic systems and human-robot environments in today's society, understanding the reasoning behind actions taken by a robot is becoming more important. To increase this understanding, users are provided with explanations as to why a specific action was taken. Among other effects, these explanations improve the trust of users in their robotic partners. One option for creating these explanations is an introspection-based approach which can be used in conjunction with reinforcement learning agents to provide probabilities of success. These can in turn be used to reason about the actions taken by the agent in a human-understandable fashion. In this work, this introspection-based approach is developed and evaluated further on the basis of an episodic and a non-episodic robotics simulation task. Furthermore, an additional normalization step to the Q-values is proposed, which enables the usage of the introspection-based approach on negative and comparatively small Qvalues. Results obtained show the viability of introspection for episodic robotics tasks and, additionally, that the introspection-based approach can be used to generate explanations for the actions taken in a non-episodic robotics environment as well. © 2022 Australasian Robotics and Automation Association. All rights reserved.",,"Intelligent agents; Robots; Human robots; Normalisation; Probability of success; Q-values; Reinforcement learning agent; Reinforcement learnings; Robot environment; Robotic partners; Robotic simulation; Robotic systems; Reinforcement learning"
"Cupek R., Lin J.C.-W., Syu J.H.","Automated Guided Vehicles Challenges for Artificial Intelligence",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147982003&doi=10.1109%2fBigData55660.2022.10021117&partnerID=40&md5=07376beaaee1e6b4a0b92ee152d9ff3e","The use of Artificial Intelligence (AI) to support the Automated Guided Vehicles (AGV) that are used by industry poses a number of challenges that are specific to smart internal logistics systems that are necessary for agile manufacturing. On the one hand, it might seem that experience with the autonomous navigation system that are used in autonomous vehicles can be easily transferred to AGV. However, in this paper, the authors highlight specific problems that are associated with the navigation system of AGV, which has to reflect its operation in an industrial environment with high level of interaction with other production systems and human staff. On the other hand, it may seem that the wealth of experience from using AI in smart manufacturing can be easily transferred to the use of AGV. However, the authors show that although AGV are production tools, the challenges that are associated with the use of AI can significantly differ from other smart manufacturing areas. The number of challenges that are specific to use of AI for AGV is also discussed. This paper systematizes these challenges and discusses the most promising AI methods that can be used for the internal logistics systems that are based on AGV. © 2022 IEEE.","Artificial Intelligence (AI); Automated Guided Vehicles (AGV); Explainable AI (XAI); Internal Logistics; Smart Manufacturing","Agile manufacturing systems; Automatic guided vehicles; Flow control; Mobile robots; Agile manufacturing; Artificial intelligence; Automated guided vehicle; Automated guided vehicles; Autonomous navigation systems; Autonomous Vehicles; Explainable artificial intelligence (XAI); Internal Logistics; Logistics system; Smart manufacturing; Navigation systems"
"Chernyavsky I., Varde A.S., Razniewski S.","CSK-Detector: Commonsense in object detection",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147954327&doi=10.1109%2fBigData55660.2022.10020915&partnerID=40&md5=fcf9d91e73ab86a8564e497c0dc087d3","We propose an approach CSK-Detector for object detection and image categorization, well-suited for big data, by transferring commonsense knowledge from a knowledge base, augmented with premises and quantifiers. It is implemented for domestic robotics, especially with the motivation that next-generation and multipurpose domestic robots should be able to seamlessly discern environments for specific tasks without prior annotation of excessive images. CSK-Detector is evaluated on real data, yielding better results than deep learning without commonsense, while also providing an explainable approach. It broadly impacts human-robot collaboration and smart living. © 2022 IEEE.","Big data; commonsense knowledge; domestic robotics; explainable AI; image categorization; smart living","Big data; Deep learning; Hydrothermal synthesis; Imaging systems; Knowledge based systems; Object detection; Object recognition; Commonsense knowledge; Domestic robotic; Domestic robots; Explainable AI; Human-robot collaboration; Image Categorization; Objects detection; Smart livings; Specific tasks; Robotics"
"Trinh M., Brecher C.","Neural Network Control of Industrial Robots Using ROS",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147549408&doi=10.1109%2fIRC55401.2022.00083&partnerID=40&md5=3323b4715f12935db040e1bc421cbbeb","Neural networks (NNs) are able to model nonlinear systems with increasing accuracy. Further developments towards explainable artificial intelligence or the integration of already existing physical knowledge promote their acceptance and transparency. For these reasons, they are suitable for application in real systems, especially for modeling highly dynamic relationships. One possible application of NNs is the accuracy optimization of robot-based machining processes. Due to their flexibility and comparatively low investment costs, industrial robots (IR) are suitable for the machining of large components. However, due to their design characteristics, IRs show deficiencies with respect to their stiffness compared to traditional machine tools. One way to counteract these problems is to compensate for the compliance by means of model-based control. For this purpose, NNs can be used that predict the drive torques required in the axes. Compared to conventional analytical dynamics models, no complex identification of model parameters is necessary. In addition, NNs can take complex, nonlinear influences such as friction into account. In this work, NNs will be applied for a real-time model-based control of an IR using the Robot Operating System. © 2022 IEEE.","neural networks; Robot control; Robot Operating System (ROS)","Complex networks; Compliance control; Machine design; Machine tools; Robot Operating System; Further development; Machining Process; Model based controls; Modeling nonlinear system; Neural network control; Neural-networks; Optimisations; Real systems; Robot operating system; Robots control; Industrial robots"
"Kakavandi F., Larsen P.G.","Explainable Product Quality Assessment in a Medical Device Assembly Pilot Line",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147543481&doi=10.1109%2fICCMA56665.2022.10011621&partnerID=40&md5=47720ac6d00488f2b370f853cf53ae99","New technologies and data analysis tools such as deep learning models can be beneficial for product quality assessment purposes. However, these black box models can be challenging due to uncertainty and lack of explainability in sensitive pharmaceutical processes. Therefore, different interpretable algorithms have been proposed to overcome the challenges in complex machine learning models. This paper presents an explainable deep-leaning-based fault detection method for quality assessment in an industrial medical device assembly line. This methodology consists of a multi-layer perceptron model that classifies the samples. Then a layer-wise relevance propagation algorithm seeks to explain the logic behind the prediction. Finally, the heatmap pertaining to relevance propagation visualizes the main contributors to the output prediction. Due to the small industrial dataset, a public dataset associated with a robot-driven screwdriving process assists in evaluating the current method-ology. The final results show that the classifier can diagnose different fault classes, and the LRP algorithm can highlight the essential input features and visualize the decision-making process. Furthermore, the LRP algorithm can be beneficial for diagnosing unknown abnormal samples due to the different distribution of contributing features in the heatmap figure. Moreover, a more reliable dimension reduction method can be applied by employing the LRP algorithm and selecting corresponding input data points with higher relevance. © 2022 IEEE.","Layer-wise relevance propagation; Medical device assembly; Multi-layer perceptron; Quality control; Screwdriving process","Assembly; Assembly machines; Decision making; Deep learning; Diagnosis; Learning systems; Quality control; Screws; Devices assembly; Layer-wise; Layer-wise relevance propagation; Medical device assembly; Medical Devices; Multilayers perceptrons; Products quality; Quality assessment; Screwdriving; Screwdriving process; Fault detection"
"Trinh M., Behery M., Emara M., Lakemeyer G., Storms S., Brecher C.","Dynamics Modeling of Industrial Robots Using Transformer Networks",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147537823&doi=10.1109%2fIRC55401.2022.00035&partnerID=40&md5=18330dfbec45494bf7be93cef5ae25c5","Dynamics modeling of industrial robots using analytical models requires the complex identification of relevant parameters such as masses, centers of gravity as well as inertia tensors, which is often prone to error. Deep learning approaches have recently been used as an alternative. Here, the challenge lies not only in learning the temporal dependencies between the data points but also the dependencies between the attributes of each point. Long Short-term Memory networks (LSTMs) have been applied to this problem as the standard architecture for time series processing. However, LSTMs are not able to fully exploit parallellization capabilities that have emerged in the past decade leading to a time consuming training process. Transformer networks (transformers) have recently been introduced to overcome the long training times while learning temporal dependencies in the data. They can be further combined with convolutional layers to learn the dependencies between attributes for multivariate time series problems. In this paper we show that these transformers can be used to accurately learn the dynamics model of a robot. We train and test two variations of transformers, with and without convolutional layers, and compare their results to other models such as vector autoregression, extreme gradient boosting, and LSTM networks. The transformers, especially with convolution, outperformed the other models in terms of performance and prediction accuracy. Finally, the best performing network is evaluated regarding its prediction plausibility using a method from explainable artificial intelligence in order to increase the user's trust. © 2022 IEEE.","robot dynamics; time series regression; transformer networks","Dynamics; Gravitation; Industrial robots; Long short-term memory; Regression analysis; Time series; Center of gravity; Center of inertias; Dynamics models; Inertia tensor; Learn+; Mass centers; Memory network; Robot dynamics; Time-series regression; Transformer network; Convolution"
"Goncharov S., Nechesov A.","Semantic programming for AI and Robotics",2022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147495798&doi=10.1109%2fSIBIRCON56155.2022.10017077&partnerID=40&md5=38dd03e1c09412e36f30176b117fd4e6","The paper presents a new high-level object-oriented programming language L* which is a conservative extension of the p-complete logical programming language L. The p-complete language L was developed by us earlier within the framework of semantic programming theory based on PAG-theorem, p-iterative and conditional terms. Thus, L*-programs can be used to implement any algorithms of polynomial complexity in such areas as artificial intelligence, robotics and smart contracts. This is especially true of the so-called explainable artificial intelligence (or briefly XAI), where it is necessary not only to give out the result based on the obtained data, but also to explain this result in a human-understandable language. This requires a programming language based on the basic constructions of mathematical logic such as logical formulas and terms. Moreover, the syntax of language L* is as close as possible to the most popular programming languages such as C++, PHP, JavaScript. Which provides programmers with a quick entry into development. © 2022 IEEE.","AI; explainable AI; p-complete languages; polynomial computability; robotics; semantic programming; XAI","C++ (programming language); Computational complexity; Iterative methods; Object oriented programming; Problem oriented languages; Robotics; Conservative extensions; Explainable AI; Logical programming; New high; Object-oriented programming languages; P-complete; P-complete language; Polynomial computability; Semantic programming; XAI; Semantics"
