Title;Abstract;Type;Cause;Authors;Year
Explainable human activity recognition based on probabilistic spatial partitions for symbiotic workplaces;In recent years, smart workplaces that adapt to human activity and motion behavior have been proposed for cognitive production systems. In this respect, methods for identifying the feelings and activities of human workers are being investigated to improve the cognitive capability of smart machines such as robots in shared working spaces. Recognizing human activities and predicting the possible next sequence of operations may simplify robot programming and improve collaboration efficiency. However, human activity recognition still requires explainable models that are versatile, robust, and interpretative. Therefore, recognizing and analyzing human action details using continuous probability density estimates in different workplace layouts is essential. Three scenarios are considered: a standalone, a one-piece flow U-form, and a human-robot hybrid workplace. This work presents a novel approach to human activity recognition based on a probabilistic spatial partition (HAROPP). Its performance is compared to the geometric-bounded activity recognition method. Results show that spatial partitions based on probabilistic density contain 20% fewer data frames and 10% more spatial areas than the geometric bounding box. The approach, on average, detects human activities correctly for 81% of the cases for a pre-known workplace layout. HAROPP has scalability and applicability potential for cognitive workplaces with a digital twin in the loop for pushing the cognitive capabilities of machine systems and realizing human-centered environments. © 2023 Informa UK Limited, trading as Taylor & Francis Group.;user modelling, vision;no us;Tuli T.B., Manns M.;2023
Explainable Human-Robot Training and Cooperation with Augmented Reality;The current spread of social and assistive robotics applications is increasingly highlighting the need for robots that can be easily taught and interacted with, even by users with no technical background. Still, it is often difficult to grasp what such robots know or to assess if a correct representation of the task is being formed. Augmented Reality (AR) has the potential to bridge this gap. We demonstrate three use cases where AR design elements enhance the explainability and efficiency of human-robot interaction: 1) a human teaching a robot some simple kitchen tasks by demonstration, 2) the robot showing its plan for solving novel tasks in AR to a human for validation, and 3) a robot communicating its intentions via AR while assisting people with limited mobility during daily activities. © 2023 Owner/Author.;vision, high-level dm, user modelling ;no us;Wang C., Belardinelli A., Hasler S., Stouraitis T., Tanneberg D., Gienger M.;2023
Geometry-guided multilevel RGBD fusion for surface normal estimation;Developments in 3D computer vision have advanced scene understanding and 3D modeling. Surface normal estimation is a basic task in these fields. In this paper, we propose a geometry-guided multilevel fusion scheme for high-quality surface normal estimation by exploiting texture and geometry information from color and depth images. The surface normal is progressively predicted with a coarse-to-fine strategy. First, an initial surface normal (IniNormal) Nini is predicted by a hierarchical confidence reweighting convolution neural network to merge texture and geometry information in a CNN feature level. Although a general accuracy is achieved, the long tail problem makes the IniNormal always fails in special areas where the depth map is high-quality while the intensity interference is challenging, such as repeating textures and abnormal exposures. Further, a traditional geometry-consistent based surface normal(GeoNormal) Ngeo is calculated based on traditional constraints, and a surface normal level fusion module is designed to remap the depth to different representations and reconsider scene information. Then, the final clear surface normal N is estimated by adaptively reintegrating the IniNormal and GeoNormal in a decision level. To overcome disturbances in the dataset and ensure the trainability of the network, a carefully designed hybrid objective function and an annealed term are applied. An explainable analysis is attached. The experimental results on two benchmark datasets demonstrate that the proposed GMLF(geometry-guided multilevel RGBD fusion for surface normal estimation) can achieve better quantitative and qualitative performance. The proposed method may be useful for robots and auto-driving which can be applied in the next-generation Internet-of-Things (NG-IoT). © 2023 Elsevier B.V.;range/3d;no us;Tong Y., Chen J., Wang Y.;2023
Grape Maturity Estimation for Personalized Agrobot Harvest by Fuzzy Lattice Reasoning (FLR) on an Ontology of Constraints;Sustainable agricultural production, under the current world population explosion, calls for agricultural robot operations that are personalized, i.e., locally adjusted, rather than en masse. This work proposes implementing such operations based on logic in order to ensure that a reasonable operation is applied locally. In particular, the interest here is in grape harvesting, where a binary decision has to be taken regarding the maturity of a grape in order to harvest it or not. A Boolean lattice ontology of inequalities is considered regarding three grape maturity indices. Then, the established fuzzy lattice reasoning (FLR) is applied by the FLRule method. Comparative experimental results on real-world data demonstrate a good maturity prediction. Other advantages of the proposed method include being parametrically tunable, as well as exhibiting explainable decision-making with either crisp or ambiguous input measurements. New mathematical results are also presented. © 2023 by the authors.;high-level dm;no us;Lytridis C., Siavalas G., Pachidis T., Theocharis S., Moschou E., Kaburlasos V.G.;2023
Interactive Policy Shaping for Human-Robot Collaboration with Transparent Matrix Overlays;One important aspect of effective human--robot collaborations is the ability for robots to adapt quickly to the needs of humans. While techniques like deep reinforcement learning have demonstrated success as sophisticated tools for learning robot policies, the fluency of human-robot collaborations is often limited by these policies' inability to integrate changes to a user's preferences for the task. To address these shortcomings, we propose a novel approach that can modify learned policies at execution time via symbolic if-this-then-that rules corresponding to a modular and superimposable set of low-level constraints on the robot's policy. These rules, which we call Transparent Matrix Overlays, function not only as succinct and explainable descriptions of the robot's current strategy but also as an interface by which a human collaborator can easily alter a robot's policy via verbal commands. We demonstrate the efficacy of this approach on a series of proof-of-concept cooking tasks performed in simulation and on a physical robot.;high-level dm;no us;Brawer J,Ghose D,Candon K,Qin M,Roncone A,Vázquez M,Scassellati B;2023
Model tree methods for explaining deep reinforcement learning agents in real-time robotic applications;Deep reinforcement learning has shown useful in the field of robotics but the black-box nature of deep neural networks impedes the applicability of deep reinforcement learning agents for real-world tasks. This is addressed in the field of explainable artificial intelligence, by developing explanation methods that aim to explain such agents to humans. Model trees as surrogate models have proven useful for producing explanations for black-box models used in real-world robotic applications, in particular, due to their capability of providing explanations in real time. In this paper, we provide an overview and analysis of available methods for building model trees for explaining deep reinforcement learning agents solving robotics tasks. We find that multiple outputs are important for the model to be able to grasp the dependencies of coupled output features, i.e. actions. Additionally, our results indicate that introducing domain knowledge via a hierarchy among the input features during the building process results in higher accuracies and a faster building process. © 2022 The Author(s);navigation;no us;Gjærum V.B., Strümke I., Løver J., Miller T., Lekkas A.M.;2023
Morse Graphs: Topological Tools for Analyzing the Global Dynamics of Robot Controllers;Understanding the global dynamics of a robot controller, such as identifying attractors and their regions of attraction (RoA), is important for safe deployment and synthesizing more effective hybrid controllers. This paper proposes a topological framework to analyze the global dynamics of robot controllers, even data-driven ones, in an effective and explainable way. It builds a combinatorial representation representing the underlying system’s state space and non-linear dynamics, which is summarized in a directed acyclic graph, the Morse graph. The approach only probes the dynamics locally by forward propagating short trajectories over a state-space discretization, which needs to be a Lipschitz-continuous function. The framework is evaluated given either numerical or data-driven controllers for classical robotic benchmarks. It is compared against established analytical and recent machine learning alternatives for estimating the RoAs of such controllers. It is shown to outperform them in accuracy and efficiency. It also provides deeper insights as it describes the global dynamics up to the discretization’s resolution. This allows to use the Morse graph to identify how to synthesize controllers to form improved hybrid solutions or how to identify the physical limitations of a robotic system. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.;joint motion ;no us;Vieira E.R., Granados E., Sivaramakrishnan A., Gameiro M., Mischaikow K., Bekris K.E.;2023
Robotic Assistance in Radiology: A Covid-19 Scenario;During the COVID-19 Pandemic, the need for rapid and reliable alternative COVID-19 screening methods have motivated the development of learning networks to screen COVID-19 patients based on chest radiography obtained from Chest X-ray (CXR) and Computed Tomography (CT) imaging. Although the effectiveness of developed models have been documented, their adoption in assisting radiologists suffers mainly due to the failure to implement or present any applicable framework. Therefore in this paper, a robotic framework is proposed to aid radiologists in COVID-19 patient screening. Specifically, Transfer learning is employed to first develop two well-known learning networks (GoogleNet and SqueezeNet) to classify positive and negative COVID-19 patients based on chest radiography obtained from Chest X-Ray (CXR) and CT imaging collected from three publicly available repositories. A test accuracy of 90.90%, sensitivity and specificity of 94.70% and 87.20% were obtained respectively for SqueezeNet and a test accuracy of 96.40%, sensitivity and specificity of 95.50% and 97.40% were obtained respectively for GoogleNet. Consequently, to demonstrate the clinical usability of the model, it is deployed on the Softbank NAO-V6 humanoid robot which is a social robot to serve as an assistive platform for radiologists. The strategy is an end-to-end explainable sorting of X-ray images, particularly for COVID-19 patients. Laboratory-based implementation of the overall framework demonstrates the effectiveness of the proposed platform in aiding radiologists in COVID-19 screening.;vision;no us;"O. S. Ajani; H. Obasekore; B. -Y. Kang; M. Rammohan";2023
RV4JaCa—Towards Runtime Verification of Multi-Agent Systems and Robotic Applications;"This paper presents a Runtime Verification (RV) approach for Multi-Agent Systems (MAS) using the JaCaMo framework. Our objective is to bring a layer of security to the MAS. This is achieved keeping in mind possible safety-critical uses of the MAS, such as robotic applications. This layer is capable of controlling events during the execution of the system without needing a specific implementation in the behaviour of each agent to recognise the events. In this paper, we mainly focus on MAS when used in the context of hybrid intelligence. This use requires communication between software agents and human beings. In some cases, communication takes place via natural language dialogues. However, this kind of communication brings us to a concern related to controlling the flow of dialogue so that agents can prevent any change in the topic of discussion that could impair their reasoning. The latter may be a problem and undermine the development of the software agents. In this paper, we tackle this problem by proposing and demonstrating the implementation of a framework that aims to control the dialogue flow in a MAS; especially when the MAS communicates with the user through natural language to aid decision-making in a hospital bed allocation scenario. © 2023 by the authors.";assistive task;no us;Engelmann D.C., Ferrando A., Panisson A.R., Ancona D., Bordini R.H., Mascardi V.;2023
Shiro-Neko, A Stationmaster Robot that Operates an Unmanned Station;In recent years, Japan has seen a declining birthrate and an aging population. As a result, it is becoming increasingly difficult to maintain public transportation in rural areas. In order to reduce maintenance costs, railroad stations are becoming increasingly unmanned. Unmanned stations have a variety of security and safety issues. These are problems that must be solved. Therefore, we are considering the installing of stationmaster robots. In Japan, stationmaster robots are being installed at large stations in central Tokyo to assist people. However, installation at unmanned stations has not progressed. The reason is that many people in rural areas are elderly and unfamiliar with IT. Therefore, we have devised a way to lower the threshold and are studying the introduction of stationmaster robots. For example, we have devised ways to make the robot more approachable, such as using colors to give the weather forecast for the next few hours, or giving casual greetings. The functions to be provided are: tourist information, weather forecasts, event announcements, emergency notifications, explanations on how to buy boarding tickets, boarding ticket purchases, boarding ticket gate operations, and notification of train departure and arrival times. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.;assistive task;no us;Kinoshita M., Baba K., Subaru Z., Tanaka M.S.;2023
The Design, Education and Evolution of a Robotic Baby;Inspired by Alan Turing's idea of a child machine, in this article, we introduce the formal definition of a robotic baby, an integrated system with minimal world knowledge at birth, capable of learning incrementally and interactively, and adapting to the world. Within the definition, fundamental capabilities and system characteristics of the robotic baby are identified and presented as the system-level requirements. As a minimal viable prototype, the Baby architecture is proposed with a systems engineering design approach to satisfy the system-level requirements, which has been verified and validated with simulations and experiments on a robotic system. We demonstrate the capabilities of the robotic baby in natural language acquisition and semantic parsing in English and Chinese, as well as in natural language grounding, natural language reinforcement learning, natural language programming, and system introspection for explainability. The education and evolution of the robotic baby are illustrated with real-world robotic demonstrations. Inspired by the genetic inheritance in human beings, knowledge inheritance in robotic babies and its benefits regarding evolution are discussed.;high-level dm, nlu;no us;"H. Zhu; S. Wilson; E. Feron";2023
Trust-Aware Planning: Modeling Trust Evolution in Iterated Human-Robot Interaction;Trust between team members is an essential requirement for any successful cooperation. Thus, engendering and maintaining the fellow team members' trust becomes a central responsibility for any member trying to not only successfully participate in the task but to ensure the team achieves its goals. The problem of trust management is particularly challenging in mixed human-robot teams where the human and the robot may have different models about the task at hand and thus may have different expectations regarding the current course of action, thereby forcing the robot to focus on the costly explicable behavior. We propose a computational model for capturing and modulating trust in such iterated human-robot interaction settings, where the human adopts a supervisory role. In our model, the robot integrates human's trust and their expectations about the robot into its planning process to build and maintain trust over the interaction horizon. By establishing the required level of trust, the robot can focus on maximizing the team goal by eschewing explicit explanatory or explicable behavior without worrying about the human supervisor monitoring and intervening to stop behaviors they may not necessarily understand. We model this reasoning about trust levels as a meta reasoning process over individual planning tasks. We additionally validate our model through a human subject experiment.;high-level dm;mismatch ;Zahedi Z,Verma M,Sreedharan S,Kambhampati S;2023
Visuo-Textual Explanations of a Robot's Navigational Choices;With the rise in the number of robots in our daily lives, human-robot encounters will become more frequent. To improve human-robot interaction (HRI), people will require explanations of robots' actions, especially if they do something unexpected. Our focus is on robot navigation, where we explain why robots make specific navigational choices. Building on methods from the area of Explainable Artificial Intelligence (XAI), we employ a semantic map and techniques from the area of Qualitative Spatial Reasoning (QSR) to enrich visual explanations with knowledge-level spatial information. We outline how a robot can generate visual and textual explanations simultaneously and test our approach in simulation. © 2023 IEEE Computer Society. All rights reserved.;navigation;no us;Halilovic A., Lindner F.;2023
XSA: EXplainable Self-Adaptation;Self-adaptive systems increasingly rely on machine learning techniques as black-box models to make decisions even when the target world of interest includes uncertainty and unknowns. Because of the lack of transparency, adaptation decisions, as well as their effect on the world, are hard to explain. This often hinders the ability to trace unsuccessful adaptations back to understandable root causes. In this paper, we introduce our vision of explainable self-adaptation. We demonstrate our vision by instantiating our ideas on a running example in the robotics domain and by showing an automated proof-of-concept process providing human-understandable explanations for successful and unsuccessful adaptations in critical scenarios.;high-level dm;no us;Camilli M,Mirandola R,Scandurra P;2023
A Cloud-based Robot System for Long-term Interaction: Principles, Implementation, Lessons Learned;"Making the transition to long-term interaction with social-robot systems has been identified as one of the main challenges in human-robot interaction. This article identifies four design principles to address this challenge and applies them in a real-world implementation: cloud-based robot control, a modular design, one common knowledge base for all applications, and hybrid artificial intelligence for decision making and reasoning. The control architecture for this robot includes a common Knowledge-base (ontologies), Data-base, ""Hybrid Artificial Brain""(dialogue manager, action selection and explainable AI), Activities Centre (Timeline, Quiz, Break and Sort, Memory, Tip of the Day, ), Embodied Conversational Agent (ECA, i.e., robot and avatar), and Dashboards (for authoring and monitoring the interaction). Further, the ECA is integrated with an expandable set of (mobile) health applications. The resulting system is a Personal Assistant for a healthy Lifestyle (PAL), which supports diabetic children with self-management and educates them on health-related issues (48 children, aged 6-14, recruited via hospitals in the Netherlands and in Italy). It is capable of autonomous interaction ""in the wild""for prolonged periods of time without the need for a ""Wizard-of-Oz""(up until 6 months online). PAL is an exemplary system that provides personalised, stable and diverse, long-term human-robot interaction. © 2021 Copyright held by the owner/author(s).";assistive general, high-level dm;social;Kaptein F., Kiefer B., Cully A., Celiktutan O., Bierman B., Rijgersberg-Peters R., Broekens J., Van Vught W., Van Bekkum M., Demiris Y., Neerincx M.A.;2022
A Decentralized Multilevel Agent Based Explainable Model for Fleet Management of Remote Drones;With the widespread use of artificial intelligence, understanding the behavior of intelligent agents and robots such as drones is crucial to guarantee successful human-agent interaction, since it is not straightforward for humans to understand an agent's state of mind. Recent empirical studies have confirmed that explaining a system's behavior to human users fosters the latter's acceptance of the system and therefore bring out the importance of explainability. However, providing overwhelming or sometimes unnecessary information can also confuse users and cause failure. For these reasons, this paper proposes a decentralized method to aggregate explanations sent by remote agents to human users according to the user's wishes and needs. To this end, the paper relies on the holonic multi-agent system to hierarchically decompose the environment and enables the aggregation of the explanations. The proposal is tested in a small scenario and outlines explanations at different levels of detail from microscopic to macroscopic. © 2022 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the Conference Program Chairs.;self-monitoring;no us;Tchappi I., Mboula J.E.N., Najjar A., Mualla Y., Galland S.;2022
A Fast Method for Explanations of Failures in Optimization-Based Robot Motion Planning;The transparent interaction between an operator and a robot system is essential for successful task completion. This requires a mutual understanding of decisions and processes in order to provide accurate diagnoses and troubleshooting alternatives in the event of a failure. Due to inaccuracies in the environmental perception or planner configuration, errors can occur in robot motion planning that are hard to understand by the operator. In this work we present a method that is able to provide explanations for motion planning failures quickly. In the context of optimization-based planners, failures origin from planning constraints can be identified using an adaption of the FastDiag algorithm. It is able to provide one preferred minimal diagnosis in logarithmic time, also for large constraint sets. To evaluate the applicability of the proposed method, experiments are conducted that compare the computational performance to an existing method while considering different parameters such as number of constraints and requested diagnoses. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.;navigation;no us;Eder M., Steinbauer-Wagner G.;2022
A full-process intelligent trial system for smart court [一种智慧法院的全流程智能化审判系统];In constructing a smart court, to provide intelligent assistance for achieving more efficient, fair, and explainable trial proceedings, we propose a full-process intelligent trial system (FITS). In the proposed FITS, we introduce essential tasks for constructing a smart court, including information extraction, evidence classification, question generation, dialogue summarization, judgment prediction, and judgment document generation. Specifically, the preliminary work involves extracting elements from legal texts to assist the judge in identifying the gist of the case efficiently. With the extracted attributes, we can justify each piece of evidence’s validity by establishing its consistency across all evidence. During the trial process, we design an automatic questioning robot to assist the judge in presiding over the trial. It consists of a finite state machine representing procedural questioning and a deep learning model for generating factual questions by encoding the context of utterance in a court debate. Furthermore, FITS summarizes the controversy focuses that arise from a court debate in real time, constructed under a multi-task learning framework, and generates a summarized trial transcript in the dialogue inspectional summarization (DIS) module. To support the judge in making a decision, we adopt first-order logic to express legal knowledge and embed it in deep neural networks (DNNs) to predict judgments. Finally, we propose an attentional and counterfactual natural language generation (AC-NLG) to generate the court’s judgment. © 2022, Zhejiang University Press.;assistive general;no us;Wei B., Kuang K., Sun C., Feng J., Zhang Y., Zhu X., Zhou J., Zhai Y., Wu F.;2022
A Novel Gradient Feature Importance Method for Neural Networks: An Application to Controller Gain Tuning for Mobile Robots;In the paper, a novel gradient-based feature importance method for neural networks is described. This method is compared to the existing feature importance method using a trained neural network, which predicts the optimal gains in real time, for a steering controller on a mobile robot. The neural network is trained using the Covariance Matrix Adaptation Evolution Strategy (CMA-ES) algorithm, in order to minimize an objective function. From an analysis using the feature importance methods, key inputs are determined, and their contribution to the neural network’s prediction are observed. Furthermore, using a first-order Taylor approximation of the neural network, an improved control law is determined and tested based on the results of the gradient-based feature importance method. This analysis is then applied to an existing neural network using real-world experiments, in order to determine the behavior of the gains with respect to each input, and allows for a glimpse into the neural network’s inner workings in order to improve its explainability. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.;navigation;no us;Hill A., Lucet E., Lenain R.;2022
A physically motivated control algorithm for an autonomous underwater vehicle;An Autonomous Underwater Vehicle (AUV) is an underactuated mobile robotic system. This paper is focused on the control of an AUV, which is an interesting problem in robotics. In engineering applications, achieving a precise mathematical model for a given system is not realistic due to the existence of many unknown and unpredictable phenomena in real systems. Therefore, less reliant algorithms on the system mathematical equations are certainly preferable. To this end, first, the mathematical model of the AUV is presented. Then, the desired signals for the control algorithm are produced. After that, a nonlinear PID-based kinematic control is proposed to solve the trajectory tracking problem for the AUV. Subsequently, a Lyapunov-based dynamic control is designed for system actuator torques. In contrast to many existing solutions, control formulation does not require any model transformation or approximation and it is formulated in the original configuration space of the system. The proposed control law is simple, with an explainable mechanism and straightforward tuning, and it leads to the non-oscillatory robot motions in the Cartesian space. © IMechE 2021.;navigation;no us;Khalaji A.K., Ghane M.;2022
